author,number_of_datasets_authored,jasmine_notes,collaborators
Kim Nielsen,351,Air glow images (# of datasets authored not representative),
Dr. Matt Nolan,306,Glacier photos (# of datasets authored not representative),
Dmitry A Streletskiy,137,,
Kathleen M Stafford,131,,
Donald Perovich,116,,
Matthew Shupe,115,ICECAPS,
Steven F. Oberbauer,110,Recent submitter,"Sergio Vargas-Zesati, Craig E. Tweedie, Steven Oberbauer"
Sergio Vargas-Zesati,104,"Recent submitter, responsive","Sergio Vargas-Zesati, Craig E. Tweedie, Steven Oberbauer"
Jacqueline M. Grebmeier,84,DBO,"Jacqueline M. Grebmeier, Lee W. Cooper"
Jason Beringer,80,,
Matthew Sturm,80,,
Donald A. (Skip) Walker,71,recently Lisa Druckenmiller (In our arctic trainings) has been submitting datasets Donald walker has been associated with ,"Donald A. (Skip) Walker, Mikhail Kanevskiy"
Lee W. Cooper,69,DBO,"Jacqueline M. Grebmeier, Lee W. Cooper"
Carin J. Ashjian,68,,
Jason Stuckey,62,,
Craig E. Tweedie,57,Recent submitter,
Steven Roof,55,,
Andreas Muenchow,51,,
Richard Krishfield,51,,
Larry D. Hinzman,46,,
Igor Polyakov,45,"NABOS II, recently contacted us to get access to data",
Patrick Sullivan,45,"Recent submitter, responsive",
Juha Alatalo,44,,
Raymond Sambrotto,44,,
Carin Ashjian,41,,
Marilyn Walker,41,,
Patrick J. Webber,40,,
Carolina Nobre,39,,
Jeremy May,39,,
H. Rodger Harvey,35,,
John Paden,35,,
Howard Epstein,34,,
Robert Hollister,34,,
Ian Baker,33,Recent submitter,
M. Syndonia Bret-Harte,33,,
Rebecca Woodgate,33,Berring straight data,
Lawrence Hamilton,30,,
Germar Bernhard,29,,
Sally MacIntyre,28,,
William Bowden,28,,
Richard B. Lammers,26,,
Von P. Walden,26,,
Vladimir E. Romanovsky,25,,
Edgar L. Andreas,24,,
Jeff M. Welker,24,,
Ute Herzfeld,24,,
Charles J. Vorosmarty,23,,
Chris Polashenski,23,,
John Toole,23,,
James H. Swift,22,,
Leah McRaven,22,Recent submitter,
Beth Orcutt,21,Recent submitter,
Pelle Robbins,21,,
Larry Mayer,20,,
Walter C. Oechel,20,,
Evelyn B. Sherr,19,,
Phyllis J. Stabeno,19,,
Vladimir Romanovsky,19,,
Andrey Petrov,18,,
S. Bradley Moran,18,,
Michael Bergin,17,,
Mikhail Kanevskiy,17,,"Donald A. (Skip) Walker, Mikhail Kanevskiy"
Nick R. Bates,17,,
Andrea Lloyd,16,,
Joseph McConnell,16,,
William Simpson,16,,
Lorraine Ahlquist,15,,
Dennis Darby,14,,
Gensuo Jiong Jia,14,,
James H. (Jamie) Morison,14,,
Kenneth H. Dunton,14,,
Matthew Evans,14,,
Michael Steele,14,,
Richard Moritz,14,,
William Shaw,14,,
Catharine D. Copass,13,,
Charles N. Flagg,13,,
Christopher Arp,13,,
Jason Amundson,13,,
Robert G. Campbell,13,,
Robert Pickart,13,,
Rolf R. Gradinger,13,,
Sarah Ludwig,13,,
David B. Reusch,12,,
David Kadko,12,,
Florence Fetterer,12,,
Gaius R. (Gus) Shaver,12,,
Glenn F. Cota,12,,
Martin Truffer,12,,
Susan Natali,12,,
David Turner,11,,
Hajo Eicken,11,Frequently mentioned by Matt,
John H. Trefry,11,,
NCAR/EOL NCAR/EOL,11,,
Amanda H. Lynch,10,,
David Beilman,10,,
David Kirchman,10,,
M. Torre Jorgenson,10,,
Matthew Alkire,10,,
Ned Fetcher,10,,
Sergio Vargas,10,,
Craig Lee,9,,
Derek Taylor,9,,
Edward D. Cokelet,9,,
Ethan Welty,9,,
Heather D Alexander,9,,
Henry J. Harlow,9,,
Kenneth M. Hinkel,9,,
Marco Tedesco,9,,
Ronald Benner,9,,
Tamara Harms,9,,
Ulf Molau,9,,
Yuri Shur,9,,
Andy Aschwanden,8,,
Bob Dattore,8,,
Bob Hawley,8,,
Darrell Kaufman,8,,
David Noone,8,,
Dennis Hansell,8,,
Frank Bahr,8,,
Greg Cutter,8,,
Hana Christoffersen,8,,
Ignatius Rigor,8,,
John P. Christensen,8,,
Joseph R. McConnell,8,,
Joshua Leffler,8,,
Knut Dr. Aagaard,8,,
Marion Syndonia Bret-Harte,8,,
Paul Robbins,8,,
Ryan Banta,8,,
Sarah Godsey,8,,
Thomas J. Weingartner,8,,
Victoria Hill,8,,
Victoria J. Hill,8,,
A. Dave McGuire,7,,
Adam M. Young,7,,
Catherine L. Berchok,7,,
Chien-Lu Ping,7,,
Christopher Omelon,7,,
Detlev Helmig,7,,
Janet Scannell,7,,
Kenneth Dunton,7,,
Kenneth Hinkel,7,,
Mary-Louise Timmermans,7,,
Michael Lomas,7,,
Miles McPhee,7,,
Monika Calef,7,,
Nina J. Karnovsky,7,,
Robert Campbell,7,,
Robert Max Holmes,7,,
Stephen Okkonen,7,,
Andrey Proshutinsky,6,,
Anne Hershey,6,,
Arny L. Blanchard,6,,
Borgthor Magnusson,6,,
Chris McNeave,6,,
Christopher Guay,6,,
Colin Edgar,6,,
D. A. Lipson,6,,
David H. Shull,6,,
Heather D. Alexander,6,,
James Morison,6,,
Karl Kreutz,6,,
Kazuyuki Saito,6,,
Kelly K. Falkner,6,,
Kenneth O. Coyle,6,,
Martha K. Raynolds,6,,
Matthew Wooller,6,,
Mead Allison,6,,
Michael DeGrandpre,6,,
Michelle Mack,6,,
Patrick H. Ressler,6,,
Paul Arthur Berkman,6,,
Sue E. Moore,6,,
Taneil Uttal,6,,
Tiffany Troxler,6,,
Allan H. Devol,5,,
Andrei Kurbatov,5,,
Anna Liljedahl,5,,
Baptiste Vandecrux,5,,
Benjamin Jones,5,,
Chris Larsen,5,,
Eric Post,5,,
Gaius Shaver,5,,
Harry Stern,5,,
Irina Overeem,5,,
James Lovvorn,5,,
Jason Briner,5,,
Jeanette C. Gann,5,,
Jianwu Tang,5,,
Jody Deming,5,,
John Lenters,5,,
Kevin Arrigo,5,,
Leonid Polyak,5,,
Lora Koenig,5,,
Lori Ziolkowski,5,,
Matthew A. Lazzara,5,,
Michael Brady,5,,
Michael Gooseff,5,,
Michael Loranty,5,,
Michael Weintraub,5,,
"Nichols, Harvey",5,,
Rachael Rhodes,5,,
Rainer Lohmann,5,,
Roger Andersen,5,,
Seth Campbell,5,,
Svein Vagle,5,,
William B. Bowden,5,,
Yongwei Sheng,5,,
Zhangxian Ouyang,5,,
Adam Z. Csank,4,,
Alana Shaw,4,,
Alexander Huryn,4,,
Andrew Parsekian,4,,
Bodil A. Bluhm,4,,
Claudia Czimczik,4,,
Dmitry Streletskiy,4,,
Donald A. Walker,4,,
Donatella Zona,4,,
Elizabeth E Webb,4,,
Ellen Druffel,4,,
Erich Osterberg,4,,
Greg Stossmeister,4,,
Harper Simmons,4,,
Howard Zebker,4,,
Ingibjorg S. Jonsdottir,4,,
Jacqueline Grebmeier,4,,
Jane M. Wolken,4,,
Janet Intrieri,4,,
John Steinberg,4,,
John T. Andrews,4,,
Jon Holmgren,4,,
Joshua Schimel,4,,
Karen Junge,4,,
Kevin Griffin,4,,
Laurie Juranek,4,,
Lina Taneva,4,,
M. S. Bret-Harte,4,,
Mackenzie Grieman,4,,
Mark Ortmeyer,4,,
Matthew Charette,4,,
Mette Kaufman,4,,
Nikolay Shiklomanov,4,,
Paul A. Mayewski,4,,
Paul Shepson,4,,
Peter Lavrentyev,4,,
Randolph A. Reeder,4,,
Richard Collins,4,,
Rick Krishfield,4,,
Robert Jespersen,4,,
Robert S. Pickart,4,,
Ron Lindsay,4,,
Sergio A. Vargas Zesati,4,,
T.K. Raab,4,,
Timothy P. Stanton,4,,
Tingjun Zhang,4,,
Uma Bhatt,4,,
Alexander Kholodov,3,,
Allen Pope,3,,
Allison Graves Gaylord,3,,
Amanda B. Young,3,,
Andrew Juhl,3,,
Andrew Kliskey,3,,
Angela Younie,3,,
Anna K. Liljedahl,3,,
Anne Jennings,3,,
Ben Pelto,3,,
Carey Friedman,3,,
Cathleen Geiger,3,,
Chadwick V. Jay,3,,
Christopher Gerbi,3,,
Clare H. Robinson,3,,
Daniel White,3,,
David C. Noone,3,,
David Holland,3,,
David Lipson,3,,
Diane K. Stoecker,3,,
Dominic Winski,3,,
Edda Mutter,3,,
Edwin Eloranta,3,,
Eugenie Euskirchen,3,,
F. III Stuart (Terry) Chapin,3,,
Feng Sheng Hu,3,,
Fiammetta Straneo,3,,
Frederick E. Nelson,3,,
G. Carleton Ray,3,,
Gary Clow,3,,
George Kling,3,,
Giacomo DiTullio,3,,
Glen E. Liston,3,,
Gordon Hamilton,3,,
Ivonne Ortiz,3,,
Jacqueline Richter-Menge,3,,
James Maslanik,3,,
Jeffrey M. Napp,3,,
Jennie McLaren,3,,
Jihong Cole-Dai,3,,
Jinlun Zhang,3,,
Joel Harper,3,,
John Cassano,3,,
John E. Hobbie,3,,
Jonathan B. Martin,3,,
Julie Brigham-Grette,3,,
Karen Beard,3,,
Karen Frey,3,,
Katherine Barnhart,3,,
Katherine Suding,3,,
Kathleen Stafford,3,,
Kathryn Catlin,3,,
Kathy J. Kuletz,3,,
Katrin Iken,3,,
Laia Andreu-Hayles,3,,
Lauren Juranek,3,,
Leonel Sternberg,3,,
M. Lupascu,3,,
Mark C. Serreze,3,,
Martin Miles,3,,
Matthew Berman,3,,
Motoyo Itoh,3,,
Nathan Chellman,3,,
Nicholas Wright,3,,
Paul Bierman,3,,
Peter Lane,3,,
Quentin Coopman,3,,
Randy Fulweber,3,,
Rebecca Hewitt,3,,
Rodrigo Correa Rangel,3,"Recent submitter, responsive",
Ronald Kwok,3,,
Rose Cory,3,,
Rune Storvold,3,,
Russ Hopcroft,3,,
Scott Pegau,3,,
Sean Arms,3,,
Sean Cahoon,3,,
Seth Beaudreault,3,,
Sharon L. Smith,3,,
Steven Oberbauer,3,,related people
Sveta Yamin-Pasternak,3,,
Thomas A. Douglas,3,,
Thomas C. Grenfell,3,,
Thomas Weingartner,3,,
Timothy Stanton,3,,
Toby Meierbachtol,3,,
Todd Sowers,3,,
Wendy R. Eisner,3,,
William D'Andrea,3,,
William Gould,3,,
Zicheng Yu,3,,
Albert Plueddemann,2,,
Alexander D. Huryn,2,,
Alexander Shiklomanov,2,,
Andrew Black,2,,
Andrew Jacobson,2,,
Andrey A. Grachev,2,,
Astrid E. J. Ogilvie,2,,
Audrey Yau,2,,
Baoshan Chen,2,,
Ben Holt,2,,
Ben W. Abbott,2,,
Benjamin Crosby,2,,
Beth Caissie,2,,
Bethany Neilson,2,,
Brendan Reilly,2,,
Burke Hales,2,,
Caitlin Livsey,2,,
Charles H. Racine,2,,
Charles Parr,2,,
Chris Bretherton,2,,
Christian Mattmann,2,,
Christina Bonsell,2,,
Claire Simpson,2,,
Clayton Paulson,2,,
Clement Miege,2,,
Clément Miège,2,,
Corinne Munger,2,,
Courtney Carothers,2,,
Craig Tweedie,2,,
David Fortin,2,,
Deborah Crooks,2,,
Dennis A. Darby,2,,
Dennis O'Rourke,2,,
Dmitry Nicolsky,2,,
Don Perovich,2,,
Don Stott,2,,
Dorothy L. Fibiger,2,,
Douglas Kane,2,,
Douglas L. Kane,2,,
Ed Eloranta,2,,
Edward Durbin,2,,
Edward Rastetter,2,,
Ellyn Enderlin,2,,
Emily Shroyer,2,,
Eric C. Apel,2,,
Eric Klein,2,,
Eric Skyllingstad,2,,
Erik Schiefer,2,,
Evan Lyons,2,,
Fiamma Straneo,2,,
Frank (Ted) Goebel,2,,
Fredrick Prahl,2,,
G. W. Kent Moore,2,,
Gerald Bigelow,2,,
Gert Van Dijken,2,,
Gordon Oswald,2,,
Gregory Starr,2,,
Grizelle Gonzalez,2,,
Gunnar Spreen,2,,
Hannah Marshburn,2,,
Heather Kropp,2,,
Heidi Golden,2,,
Hella Ahrends,2,,
Howard Conway,2,,
Ina Timling,2,,
James McManus,2,,
James T. Randerson,2,,
Jamie D. Gleason,2,,
Janet Duffy-Anderson,2,,
Jeffrey Severinghaus,2,,
Jeffrey Welker,2,,
Jennifer Francis,2,,
Jennifer Hutchings,2,,
Jessica Schedlbauer,2,,
John Andrews,2,,
"John C. ""Craig"" George",2,,
Jonathan E. Nichols,2,,
Joseph Shaw,2,,
Judith A. Curry,2,,
Julie Raymond-Yakoubian,2,,
Julienne Stroeve,2,,
K. Miller,2,,
Kaitlin Keegan,2,,
Karen E. Frey,2,,
Kate Buckeridge,2,,
Katharine Kelsey,2,,
Kathleen M. Stafford,2,,
Kei Saito,2,,
Kelly Benoit-Bird,2,,
Kenichi Matsuoka,2,,
Kenneth Mankoff,2,,
Kevin Anchukaitis,2,,
Kristina Øie Kvile,2,,
Kyle Arndt,2,,
Laurie Padman,2,,
Leung Tsang,2,,
Lilian Alessa,2,,
Linda Deegan,2,,
Lindsay G. Carlson,2,,
Lloyd Keigwin,2,,
Louis Codispoti,2,,
Louisa Kramer,2,,
Matt Nolan,2,,
Melinda Nicewonger,2,,
Melissa L. Chipman,2,,
Meredith Kelly,2,,
Nancy Friday,2,,
Natalia Shakhova,2,,
Nathan M. Jones,2,,
Nathan Thorp,2,,
Nicolas Young,2,,
Olivia Miller,2,,
Orjan Totland,2,,
Philippe Amstislavski,2,,
Phillip A. Zavadil,2,,
Rainer Amon,2,,
Robert Wagner,2,,
Roger Bales,2,,
Ronald Daanen,2,,
Rosana Paredes,2,,
Russell Hopcroft,2,,
Scott J. Goetz,2,,
Sean M. Schaeffer,2,,
Sean Schaeffer,2,,
Shad ONeel,2,,
Shaun A. Marcott,2,,
Shinto Nishino,2,,
Shiway Wang,2,,
Stephen G. Warren,2,,
Stephen R. Okkonen,2,,
Steven F Oberbauer,2,,
Steven Manganini,2,,
Sue Moore,2,,
Susan Crate,2,,
Svetlana Stuefer,2,,
Takashi Kikuchi,2,,
Thomas E. Osterkamp,2,,
Till Baumann,2,,
Tobias Schwoerer,2,,
Tracy DeLiberty,2,,
Vanessa Lougheed,2,,
