article_link,article_doi,dataset_doi,cit_location,finder,notes
https://www.essoar.org/doi/abs/10.1002/essoar.10502530.1,https://doi.org/10.1002/essoar.10502530.1,doi:10.18739/A26M3340D,,Erin,
https://www.essoar.org/doi/abs/10.1002/essoar.10502530.1,https://doi.org/10.1002/essoar.10502530.1,doi:10.18739/A2BC3SX4R,,Erin,
https://www.essoar.org/doi/abs/10.1002/essoar.10502530.2,https://doi.org/10.1002/essoar.10502530.2,doi:10.18739/A2RS9B,references,Erin,
https://www.essoar.org/doi/abs/10.1002/essoar.10502530.2,https://doi.org/10.1002/essoar.10502530.2,doi:10.18739/A2N37R,references,Erin,
https://climatechangeresponses.biomedcentral.com/articles/10.1186/s40665-016-0017-0,https://doi.org/10.1186/s40665-016-0017-0,doi:10.18739/A2WM13T76,,Maya,
https://link.springer.com/article/10.1007/s13280-019-01295-7#Sec2,https://doi.org/10.1007/s13280-019-01295-7,https://doi.org/10.18739/A2M32N95V.,references,Jasmine,
In press,doi: 10.1088/1748-9326/ab897f,doi:10.18739/A24T6F404,,Jasmine,set of 3 tree ring data not published with doi yet
In press,doi: 10.1088/1748-9326/ab897f,doi:10.18739/A2125Q975,,,
In press,doi: 10.1088/1748-9326/ab897f,doi:10.18739/A2W950P25,,,
https://essd.copernicus.org/articles/8/199/2016/essd-8-199-2016.pdf,doi:10.5194/essd-8-199-2016,doi:10.5065/D61J97TT,"data availability, abstract",Jeanette,
https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2018GL079873,https://doi.org/10.1029/2018GL079873,doi:10.18739/A23S1D / doi:10.18739/A27C51 / urn:uuid:bb14bf86-79eb-4a84-9734-4a1de99523d1.,,Erin,Not sure what dataset matches
https://academic.oup.com/condor/article/doi/10.1093/condor/duaa026/5857122#204642195,https://doi.org/10.1093/condor/duaa026,doi:10.18739/A28P5V92S,Methods,Erin,
In press,https://doi.org/10.5194/cp-2019-164,doi:10.18739/A2599Z26M,,Jasmine,"currently in pre-print, will update when dataset pre-assigned doi"
https://onlinelibrary.wiley.com/doi/abs/10.1111/gcb.15193,https://doi.org/10.1111/gcb.15193,doi:10.18739/A26H4CQ8J,,Erin,