source_id,target_id,relationType
10.5194/essd-11-1957-2019,10.18739/A2R785P0G,Cites
10.5194/tc-13-911-2019,10.18739/A24Q7QP6V,Cites
10.1029/2019JG005414,10.18739/A2ZQ03,Cites
10.1016/j.epsl.2018.05.022,10.18739/A2ZQ03,Cites
10.5194/tc-13-1233-2019,10.18739/A2D08X,Cites
10.5194/tc-13-775-2019,10.18739/A2D08X,Cites
10.1029/2017JC013617,10.18739/A2D08X,Cites
10.5194/essd-11-1957-2019,10.18739/A2ZS2KC8C,Cites
10.5194/acp-19-7467-2019,10.18739/A2NN44,Cites
10.5194/acp-18-4715-2018,10.18739/A2NN44,Cites
10.5194/essd-11-1957-2019,10.18739/A2BZ6178M,Cites
10.5194/acp-18-4715-2018,10.18739/A2020V,Cites
10.1007/978-3-030-35291-2_2,10.18739/A2KP7TQ9P,Cites
10.5194/essd-11-1957-2019,10.18739/A2V11VK4J,Cites
10.1029/2019JC015569,10.18739/A22Z12P4J,Cites
10.5194/tc-14-199-2020,10.18739/A2FP03,Cites
10.5194/acp-19-7467-2019,10.18739/A22J6K,Cites
10.5194/acp-18-4715-2018,10.18739/A22J6K,Cites
10.1029/2019GL084101,10.5065/D6S180MH,Cites
10.5194/tc-13-845-2019,10.5065/D6S180MH,Cites
10.5194/essd-10-1959-2018,10.5065/D6S180MH,Cites
10.5194/cp-14-637-2018,10.18739/A2Q572,Cites
10.1029/2018MS001524,10.5065/D6Q23X81,Cites
10.5194/acp-18-4715-2018,10.18739/A27795,Cites
10.3390/rs11182163,10.5065/D6MC8X5R,Cites
10.3390/rs11141718,10.5065/D6MC8X5R,Cites
10.1016/j.dsr2.2016.08.009,10.5065/D6GT5K65,Cites
10.1002/2017JG004002,10.18739/A2NW2S,Cites
10.5194/acp-18-4715-2018,10.18739/A2G74F,Cites
10.5194/essd-11-1957-2019,10.18739/A2Q814S0S,Cites
10.1029/2019GL084101,10.5065/D6154F6J,Cites
10.5194/essd-10-1959-2018,10.5065/D6154F6J,Cites
10.5194/bg-14-4279-2017,10.5065/D6NG4NP0,Cites
10.5194/acp-19-7467-2019,10.18739/A2221V,Cites
10.5194/acp-19-7467-2019,10.18739/A2Z37J,Cites
10.1029/2017JD027377,10.18739/A2Z37J,Cites
10.5194/tc-12-1921-2018,10.5065/D6NZ85TB,Cites
10.5194/acp-19-7467-2019,10.18739/A20R48,Cites
10.1525/elementa.352,10.5065/D6930R9W,Cites
10.5194/tc-11-2363-2017,10.5065/D6JH3J7Z,Cites
10.1111/1365-2745.13169,10.18739/A2XG9F982,Cites
10.1016/j.dsr2.2016.08.009,10.5065/D65M63P5,Cites
10.5194/os-13-983-2017,10.18739/A2436Q,Cites
10.5194/essd-11-1957-2019,10.18739/A2GQ6R21H,Cites
10.5194/essd-11-1957-2019,10.18739/A2FQ9Q52R,Cites
10.5194/os-13-983-2017,10.18739/A2QS91,Cites
10.1029/2019GL084101,10.18739/A2Q88G,Cites
10.5194/tc-13-845-2019,10.18739/A2Q88G,Cites
10.5194/essd-10-1959-2018,10.18739/A2Q88G,Cites
10.5194/acp-18-4715-2018,10.18739/A2H20H,Cites
10.5194/cp-14-1625-2018,10.18739/A2G73735Q,Cites
10.1002/2017JG004002,10.18739/A25W2F,Cites
10.5194/acp-19-7467-2019,10.18739/A2WW76Z78,Cites
10.5194/acp-19-7467-2019,10.18739/A2VF6P,Cites
10.1029/2019GL084101,10.5065/D6NP22KX,Cites
10.5194/tc-13-845-2019,10.5065/D6NP22KX,Cites
10.5194/essd-10-1959-2018,10.5065/D6NP22KX,Cites
10.1029/2017JF004597,10.5065/D6NP22KX,Cites
10.5194/acp-18-4715-2018,10.18739/A2VB8D,Cites
10.5194/cp-14-1625-2018,10.18739/A2ZQ1G,Cites
10.1029/2019GL085101,10.18739/A2RS0X,Cites
10.5194/tc-12-1921-2018,10.5065/D6J1019P,Cites
10.1029/2019GL084101,10.5065/D63X84RQ,Cites
10.5194/essd-10-1959-2018,10.5065/D63X84RQ,Cites
10.1002/2017JG004002,10.18739/A2XC70,Cites
10.5194/acp-18-4715-2018,10.18739/A27J64,Cites
10.1111/1365-2745.13191,10.18739/A22274,Cites
10.5194/acp-19-7467-2019,10.18739/A23J5H,Cites
10.5194/acp-19-7467-2019,10.18739/A25D8ND61,Cites
10.1029/2019GL084101,10.18739/A2888F,Cites
10.5194/essd-10-1959-2018,10.18739/A2888F,Cites
10.1088/1748-9326/aaaa9a,10.5065/D62R3PVR,Cites
10.5194/acp-19-7467-2019,10.18739/A2318G,Cites
10.5194/acp-18-4715-2018,10.18739/A2318G,Cites
10.1016/j.dsr2.2016.08.009,10.5065/D6NG4NM3,Cites
10.5194/os-13-983-2017,10.18739/A20955,Cites
10.5194/acp-18-4715-2018,10.18739/A2GZ1J,Cites
10.1111/1365-2745.13062,10.18739/A2K06X08R,Cites
10.1029/2018GL077403,10.18739/A2Q05K,Cites
10.5194/acp-18-4715-2018,10.18739/A25N4S,Cites
10.5194/acp-19-7467-2019,10.18739/A2TF7R,Cites
10.1029/2017JC013617,10.18739/A2J954,Cites
10.1007/978-3-030-35291-2_2,10.18739/A2V698B7K,Cites
10.5194/acp-18-4715-2018,10.18739/A2CB7P,Cites
10.5194/acp-19-7467-2019,10.18739/A29F73,Cites
10.5194/acp-19-7467-2019,10.18739/A2HJ57,Cites
10.5194/acp-18-4715-2018,10.18739/A2HJ57,Cites
10.5194/tc-13-911-2019,10.18739/A2B853H78,Cites
10.5194/acp-19-7467-2019,10.18739/A2WZ18,Cites
10.5194/acp-18-4715-2018,10.18739/A2WZ18,Cites
10.1002/tafs.10018,10.5065/D6DF6P6C,Cites
10.1016/j.dsr2.2015.10.009,10.5065/D6DF6P6C,Cites
10.1016/j.dsr2.2015.10.008,10.5065/D6DF6P6C,Cites
10.1016/j.dsr2.2016.07.009,10.5065/D6DF6P6C,Cites
10.1016/j.dsr2.2013.09.017,10.5065/D6DF6P6C,Cites
10.1016/j.dsr2.2013.04.023,10.5065/D6DF6P6C,Cites
10.1029/2019GL084101,10.18739/A26D5PB2S,Cites
10.1007/978-3-030-35291-2_2,10.18739/A25T3FZ9D,Cites
10.5194/os-13-983-2017,10.18739/A27S9P,Cites
10.5194/essd-8-199-2016,10.5065/D61J97TT,Cites
10.5194/tc-13-845-2019,10.18739/A2V40JZ6C,Cites
10.5194/acp-19-7467-2019,10.18739/A21V2V,Cites
10.5194/acp-19-7467-2019,10.18739/A2PJ65,Cites
10.5194/acp-19-7467-2019,10.18739/A2121J,Cites
10.5194/acp-18-4715-2018,10.18739/A2121J,Cites
10.1016/j.pocean.2015.05.006,10.5065/D67M05ZX,Cites
10.5194/acp-18-4715-2018,10.18739/A24B8W,Cites
10.1002/2016JD026034,10.5065/D6PN93R6,Cites
10.5194/acp-18-4715-2018,10.18739/A2F490,Cites
10.1029/2018JF004772,10.18739/A2SK7T,Cites
10.5194/tc-12-907-2018,10.18739/A2W27K,Cites
10.3969/j.issn.0253-4193.2019.09.006,10.5065/D6RF5S30,Cites
10.1016/j.dsr2.2016.08.009,10.5065/D6FT8J1B,Cites
10.5194/essd-11-1957-2019,10.18739/A23J3912W,Cites
10.5194/acp-19-7467-2019,10.18739/A2MJ55,Cites
10.1029/2018GL077403,10.18739/A2G23B,Cites
10.1175/JTECH-D-19-0177.1,10.18739/A2GB1XG6P,Cites
10.5194/acp-18-4715-2018,10.18739/A2ZR3K,Cites
10.1016/j.dsr2.2016.08.009,10.5065/D6F47M3S,Cites
10.1088/1748-9326/aaaa9a,10.5065/D6B56GV1,Cites
10.1093/gji/ggv415,10.5065/D64F1NS6,Cites
10.5194/acp-19-7467-2019,10.18739/A2X508,Cites
10.5194/acp-18-4715-2018,10.18739/A2X508,Cites
10.5194/essd-11-1957-2019,10.18739/A2BZ61825,Cites
10.5194/essd-11-1957-2019,10.18739/A27659F8Q,Cites
10.5194/essd-11-1957-2019,10.18739/A23F4KN4K,Cites
10.5194/tc-13-2797-2019,10.18739/A2ZK55M55,Cites
10.1029/2019JD030650,10.18739/A2C824D80,Cites
10.5194/acp-18-4715-2018,10.18739/A2M17R,Cites
10.5194/acp-18-4715-2018,10.18739/A2R79T,Cites
10.1029/2019JG005242,10.18739/A25X25C75,Cites
10.1029/2019JG005170,10.18739/A2QB9V561,Cites
10.5194/acp-19-7467-2019,10.18739/A2JZ2J,Cites
10.5194/acp-19-7467-2019,10.18739/A21N7XM2W,Cites
10.1029/2019GL084101,10.18739/A2M03XX3M,Cites
10.1073/pnas.1900613116,10.18739/A2D79598P,Cites
10.5194/acp-19-7467-2019,10.18739/A28K74W5W,Cites
10.1007/978-3-030-35291-2_2,10.18739/A2F47GT18,Cites
10.5194/os-13-983-2017,10.18739/A2G95H,Cites
10.5194/essd-11-1957-2019,10.18739/A2KH0DZ5J,Cites
10.5194/acp-19-7467-2019,10.18739/A2BJ3X,Cites
10.5194/acp-18-4715-2018,10.18739/A2BJ3X,Cites
10.1002/2017JG004002,10.18739/A2PW3G,Cites
